QueryNumber,DCG
1,"[0, 2.0, 2.0, 2.0, 2.0, 6.6422336868144995, 6.6422336868144995, 6.6422336868144995, 10.112347331457515, 12.219557301105384]"
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[12, 12, 12, 12, 12, 12, 12, 12.666666666666666, 12.666666666666666, 12.666666666666666]"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[7, 8.0, 8.0, 9.0, 9.861353116146786, 13.34302838125766, 13.34302838125766, 13.34302838125766, 15.551282518757763, 16.153342510085725]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0.31546487678572877, 0.31546487678572877]"
7,"[0, 0, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575]"
8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 2.8391838910715586, 2.8391838910715586]"
10,"[0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]"
11,"[11, 23.0, 23.0, 23.5, 28.66811869688072, 29.054971504115258, 29.054971504115258, 31.054971504115258, 31.054971504115258, 31.054971504115258]"
12,"[0, 0, 0, 0, 0, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"[2, 2, 2, 2, 7.168118696880717, 11.810352383695218, 13.235181132127307, 13.235181132127307, 15.443435269627408, 15.443435269627408]"
15,"[3, 3, 3, 3, 3, 3, 3, 3.6666666666666665, 3.6666666666666665, 3.6666666666666665]"
16,"[4, 6.0, 13.57115704285749, 16.07115704285749, 16.932510159004277, 19.253627002411527, 19.253627002411527, 19.253627002411527, 19.884556755982985, 22.593826716958816]"
17,"[0, 0, 4.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025, 5.4165082750002025]"
18,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
19,"[0, 12.0, 12.0, 12.5, 12.5, 12.5, 12.5, 13.166666666666666, 13.166666666666666, 13.166666666666666]"
20,"[12, 24.0, 31.57115704285749, 37.57115704285749, 37.57115704285749, 37.57115704285749, 41.84564328815376, 45.84564328815376, 45.84564328815376, 45.84564328815376]"
21,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
22,"[5, 7.0, 7.630929753571458, 8.130929753571458, 8.130929753571458, 10.065193789744166, 11.490022538176255, 12.156689204842921, 12.156689204842921, 12.156689204842921]"
23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"[0, 2.0, 7.04743802857166, 7.04743802857166, 7.04743802857166, 7.04743802857166, 10.965717086759904, 10.965717086759904, 12.22757659390282, 14.334786563550688]"
26,"[0, 9.0, 12.154648767857287, 12.154648767857287, 16.89209090666461, 16.89209090666461, 16.89209090666461, 16.89209090666461, 16.89209090666461, 16.89209090666461]"
27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3010299956639812]"
28,"[2, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.666666666666667, 6.666666666666667, 6.666666666666667]"
29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"[12, 12, 12, 12, 17.16811869688072, 21.036646769226135, 21.036646769226135, 21.036646769226135, 23.560365783511966, 23.560365783511966]"
32,"[0, 0, 0, 0, 0, 3.094822457876333, 3.094822457876333, 3.094822457876333, 3.094822457876333, 3.094822457876333]"
33,"[10, 10, 17.57115704285749, 17.57115704285749, 22.739275739738208, 27.381509426552707, 27.381509426552707, 27.381509426552707, 27.381509426552707, 27.381509426552707]"
34,"[12, 22.0, 27.678367782143116, 33.67836778214311, 38.84648647902383, 42.715014551369244, 45.920879235341445, 49.920879235341445, 49.920879235341445, 49.920879235341445]"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"[10, 10, 17.57115704285749, 21.57115704285749, 26.739275739738208, 29.447245390379997, 33.721731635676264, 37.0550649690096, 40.52517861365261, 43.535478570292426]"
38,"[0, 0, 0, 0, 0, 0, 0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
39,"[4, 6.0, 7.892789260714372, 10.892789260714373, 10.892789260714373, 11.666494875183457, 13.091323623615546, 13.757990290282212, 15.966244427782314, 15.966244427782314]"
40,"[0, 12.0, 12.0, 12.0, 12.0, 15.481675265110875, 15.481675265110875, 19.481675265110873, 19.481675265110873, 20.083735256438835]"
41,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
42,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
43,"[0, 2.0, 2.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.630929753571458, 8.630929753571458]"
44,"[12, 24.0, 24.0, 30.0, 30.0, 30.773705614469083, 31.48611998868513, 35.48611998868513, 39.27169851011388, 39.27169851011388]"
45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"[0, 0, 0, 0, 0, 3.094822457876333, 3.094822457876333, 3.094822457876333, 3.094822457876333, 3.094822457876333]"
47,"[0, 1.0, 1.0, 1.0, 6.168118696880717, 6.168118696880717, 6.168118696880717, 6.168118696880717, 6.168118696880717, 6.168118696880717]"
48,"[0, 0, 0, 0, 0, 0.38685280723454163, 0.7430599943425638, 0.7430599943425638, 3.2667790086283937, 5.675018973940244]"
49,"[12, 22.0, 27.678367782143116, 27.678367782143116, 31.12378024673026, 31.510633053964803, 34.36029055082898, 34.36029055082898, 34.36029055082898, 34.36029055082898]"
50,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
51,"[0, 0, 0, 0, 0, 0, 0, 3.3333333333333335, 3.3333333333333335, 3.3333333333333335]"
52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"[0, 5.0, 6.892789260714372, 6.892789260714372, 6.892789260714372, 6.892789260714372, 9.386239570470527, 9.386239570470527, 9.386239570470527, 9.386239570470527]"
54,"[0, 11.0, 11.0, 17.0, 17.0, 17.38685280723454, 17.38685280723454, 17.38685280723454, 17.38685280723454, 19.49406277688241]"
55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
57,"[3, 10.0, 10.0, 12.0, 13.29202967422018, 15.61314651762743, 15.61314651762743, 15.61314651762743, 15.61314651762743, 15.61314651762743]"
58,"[0, 9.0, 9.0, 9.5, 9.5, 9.5, 13.774486245296266, 13.774486245296266, 16.298205259582097, 19.910565207549872]"
59,"[0, 2.0, 2.0, 2.0, 4.584059348440359, 4.584059348440359, 6.008888096872448, 6.008888096872448, 6.008888096872448, 6.008888096872448]"
60,"[0, 0, 0, 0, 0, 4.6422336868144995, 4.6422336868144995, 4.6422336868144995, 4.6422336868144995, 4.6422336868144995]"
61,"[0, 11.0, 11.0, 14.5, 14.5, 14.5, 14.5, 14.5, 14.5, 14.5]"
62,"[0, 0, 3.1546487678572874, 4.154648767857287, 4.154648767857287, 4.92835438232637, 4.92835438232637, 5.595021048993037, 5.595021048993037, 6.197081040321]"
63,"[0, 0, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575, 0.6309297535714575]"
64,"[0, 0, 0, 1.5, 6.668118696880717, 6.668118696880717, 6.668118696880717, 6.668118696880717, 6.668118696880717, 6.668118696880717]"
65,"[0, 5.0, 6.2618595071429155, 6.2618595071429155, 11.429978204023634, 14.524800661899967, 14.524800661899967, 14.524800661899967, 14.524800661899967, 14.524800661899967]"
66,"[0, 0, 0, 0, 0.43067655807339306, 0.43067655807339306, 0.43067655807339306, 0.43067655807339306, 0.43067655807339306, 0.43067655807339306]"
67,"[0, 1.0, 1.0, 6.5, 8.222706232293572, 11.317528690169905, 11.317528690169905, 11.317528690169905, 11.317528690169905, 11.317528690169905]"
68,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12.301029995663981]"
69,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"[0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]"
72,"[0, 2.0, 2.0, 2.0, 3.7227062322935724, 3.7227062322935724, 3.7227062322935724, 3.7227062322935724, 3.7227062322935724, 3.7227062322935724]"
73,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
74,"[0, 0, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 9.97939700816934]"
75,"[2, 2, 3.261859507142915, 5.2618595071429155, 6.123212623289701, 6.123212623289701, 6.123212623289701, 6.123212623289701, 6.123212623289701, 6.123212623289701]"
76,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
77,"[12, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 25.0, 25.0, 25.0]"
78,"[0, 0, 0, 3.0, 3.430676558073393, 3.430676558073393, 3.430676558073393, 3.430676558073393, 3.430676558073393, 4.032736549401355]"
79,"[3, 3, 3, 6.5, 6.5, 6.886852807234542, 6.886852807234542, 6.886852807234542, 6.886852807234542, 6.886852807234542]"
80,"[0, 0, 0, 2.5, 2.5, 6.755380879579958, 6.755380879579958, 10.755380879579958, 13.279099893865787, 13.279099893865787]"
81,"[0, 0, 0, 0, 0, 0, 0, 2.3333333333333335, 2.3333333333333335, 2.3333333333333335]"
82,"[0, 0, 0, 0, 0, 0, 0.7124143742160444, 0.7124143742160444, 0.7124143742160444, 0.7124143742160444]"
83,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,"[0, 10.0, 12.523719014285831, 12.523719014285831, 12.523719014285831, 14.071130243223998, 15.852166178764108, 15.852166178764108, 15.852166178764108, 15.852166178764108]"
85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,"[0, 2.0, 2.0, 5.0, 6.29202967422018, 6.29202967422018, 6.29202967422018, 6.625363007553513, 9.7800117754108, 9.7800117754108]"
87,"[0, 2.0, 2.0, 2.0, 2.8613531161467862, 2.8613531161467862, 2.8613531161467862, 2.8613531161467862, 2.8613531161467862, 2.8613531161467862]"
88,"[0, 0, 0, 0, 0, 2.7079696506417914, 2.7079696506417914, 2.7079696506417914, 2.7079696506417914, 2.7079696506417914]"
89,"[11, 11, 11, 17.0, 17.0, 17.0, 17.0, 17.0, 18.261859507142916, 18.261859507142916]"
90,"[9, 9, 9, 9, 13.30676558073393, 17.56214646031389, 20.055596770070046, 20.055596770070046, 20.686526523641504, 20.987556519305485]"
91,"[2, 4.0, 5.2618595071429155, 5.2618595071429155, 6.553889181363095, 7.71444760306672, 7.71444760306672, 7.71444760306672, 7.71444760306672, 8.316507594394682]"
92,"[4, 4, 5.892789260714372, 5.892789260714372, 5.892789260714372, 7.440200489652539, 8.152614863868584, 8.152614863868584, 8.152614863868584, 8.152614863868584]"
94,"[12, 16.0, 16.0, 16.0, 19.014735906513753, 23.27011678609371, 27.544603031389975, 27.544603031389975, 27.544603031389975, 28.7487230140459]"
95,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,"[0, 0, 0, 0, 0, 0.7737056144690833, 0.7737056144690833, 0.7737056144690833, 0.7737056144690833, 2.8809155841169516]"
98,"[0, 0, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025]"
99,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
